t_idx,DateTime,HourOfDay,DayOfWeek,IsWeekend
69,2004-03-13 15:00,15,7,1
70,2004-03-13 16:00,16,7,1
71,2004-03-13 17:00,17,7,1
72,2004-03-13 18:00,18,7,1
73,2004-03-13 19:00,19,7,1
74,2004-03-13 20:00,20,7,1
75,2004-03-13 21:00,21,7,1
76,2004-03-13 22:00,22,7,1
77,2004-03-13 23:00,23,7,1
78,2004-03-14 00:00,0,1,1
79,2004-03-14 01:00,1,1,1
80,2004-03-14 02:00,2,1,1
81,2004-03-14 03:00,3,1,1
82,2004-03-14 04:00,4,1,1
83,2004-03-14 05:00,5,1,1
84,2004-03-14 06:00,6,1,1
85,2004-03-14 07:00,7,1,1
86,2004-03-14 08:00,8,1,1
87,2004-03-14 09:00,9,1,1
88,2004-03-14 10:00,10,1,1
89,2004-03-14 11:00,11,1,1
90,2004-03-14 12:00,12,1,1
91,2004-03-14 13:00,13,1,1
92,2004-03-14 14:00,14,1,1
93,2004-03-14 15:00,15,1,1
94,2004-03-14 16:00,16,1,1
95,2004-03-14 17:00,17,1,1
96,2004-03-14 18:00,18,1,1
97,2004-03-14 19:00,19,1,1
98,2004-03-14 20:00,20,1,1
99,2004-03-14 21:00,21,1,1
100,2004-03-14 22:00,22,1,1
101,2004-03-14 23:00,23,1,1
102,2004-03-15 00:00,0,2,0
103,2004-03-15 01:00,1,2,0
104,2004-03-15 02:00,2,2,0
105,2004-03-15 03:00,3,2,0
106,2004-03-15 04:00,4,2,0
107,2004-03-15 05:00,5,2,0
108,2004-03-15 06:00,6,2,0
109,2004-03-15 07:00,7,2,0
110,2004-03-15 08:00,8,2,0
111,2004-03-15 09:00,9,2,0
112,2004-03-15 10:00,10,2,0
113,2004-03-15 11:00,11,2,0
114,2004-03-15 12:00,12,2,0
115,2004-03-15 13:00,13,2,0
116,2004-03-15 14:00,14,2,0
117,2004-03-15 15:00,15,2,0
118,2004-03-15 16:00,16,2,0
119,2004-03-15 17:00,17,2,0
120,2004-03-15 18:00,18,2,0
121,2004-03-15 19:00,19,2,0
122,2004-03-15 20:00,20,2,0
123,2004-03-15 21:00,21,2,0
124,2004-03-15 22:00,22,2,0
125,2004-03-15 23:00,23,2,0
126,2004-03-16 00:00,0,3,0
127,2004-03-16 01:00,1,3,0
128,2004-03-16 02:00,2,3,0
129,2004-03-16 03:00,3,3,0
130,2004-03-16 04:00,4,3,0
131,2004-03-16 05:00,5,3,0
132,2004-03-16 06:00,6,3,0
133,2004-03-16 07:00,7,3,0
134,2004-03-16 08:00,8,3,0
135,2004-03-16 09:00,9,3,0
136,2004-03-16 10:00,10,3,0
137,2004-03-16 11:00,11,3,0
138,2004-03-16 12:00,12,3,0
139,2004-03-16 13:00,13,3,0
140,2004-03-16 14:00,14,3,0
141,2004-03-16 15:00,15,3,0
142,2004-03-16 16:00,16,3,0
143,2004-03-16 17:00,17,3,0
144,2004-03-16 18:00,18,3,0
145,2004-03-16 19:00,19,3,0
146,2004-03-16 20:00,20,3,0
147,2004-03-16 21:00,21,3,0
148,2004-03-16 22:00,22,3,0
149,2004-03-16 23:00,23,3,0
150,2004-03-17 00:00,0,4,0
151,2004-03-17 01:00,1,4,0
152,2004-03-17 02:00,2,4,0
153,2004-03-17 03:00,3,4,0
154,2004-03-17 04:00,4,4,0
155,2004-03-17 05:00,5,4,0
156,2004-03-17 06:00,6,4,0
157,2004-03-17 07:00,7,4,0
158,2004-03-17 08:00,8,4,0
159,2004-03-17 09:00,9,4,0
160,2004-03-17 10:00,10,4,0
161,2004-03-17 11:00,11,4,0
162,2004-03-17 12:00,12,4,0
163,2004-03-17 13:00,13,4,0
164,2004-03-17 14:00,14,4,0
165,2004-03-17 15:00,15,4,0
166,2004-03-17 16:00,16,4,0
167,2004-03-17 17:00,17,4,0
168,2004-03-17 18:00,18,4,0
169,2004-03-17 19:00,19,4,0
170,2004-03-17 20:00,20,4,0
171,2004-03-17 21:00,21,4,0
172,2004-03-17 22:00,22,4,0
173,2004-03-17 23:00,23,4,0
174,2004-03-18 00:00,0,5,0
175,2004-03-18 01:00,1,5,0
176,2004-03-18 02:00,2,5,0
177,2004-03-18 03:00,3,5,0
178,2004-03-18 04:00,4,5,0
179,2004-03-18 05:00,5,5,0
180,2004-03-18 06:00,6,5,0
181,2004-03-18 07:00,7,5,0
182,2004-03-18 08:00,8,5,0
183,2004-03-18 09:00,9,5,0
184,2004-03-18 10:00,10,5,0
185,2004-03-18 11:00,11,5,0
186,2004-03-18 12:00,12,5,0
187,2004-03-18 13:00,13,5,0
188,2004-03-18 14:00,14,5,0
189,2004-03-18 15:00,15,5,0
190,2004-03-18 16:00,16,5,0
191,2004-03-18 17:00,17,5,0
192,2004-03-18 18:00,18,5,0
193,2004-03-18 19:00,19,5,0
194,2004-03-18 20:00,20,5,0
195,2004-03-18 21:00,21,5,0
196,2004-03-18 22:00,22,5,0
197,2004-03-18 23:00,23,5,0
198,2004-03-19 00:00,0,6,0
199,2004-03-19 01:00,1,6,0
200,2004-03-19 02:00,2,6,0
201,2004-03-19 03:00,3,6,0
202,2004-03-19 04:00,4,6,0
203,2004-03-19 05:00,5,6,0
204,2004-03-19 06:00,6,6,0
205,2004-03-19 07:00,7,6,0
206,2004-03-19 08:00,8,6,0
207,2004-03-19 09:00,9,6,0
208,2004-03-19 10:00,10,6,0
209,2004-03-19 11:00,11,6,0
210,2004-03-19 12:00,12,6,0
211,2004-03-19 13:00,13,6,0
212,2004-03-19 14:00,14,6,0
213,2004-03-19 15:00,15,6,0
214,2004-03-19 16:00,16,6,0
215,2004-03-19 17:00,17,6,0
216,2004-03-19 18:00,18,6,0
217,2004-03-19 19:00,19,6,0
218,2004-03-19 20:00,20,6,0
219,2004-03-19 21:00,21,6,0
220,2004-03-19 22:00,22,6,0
221,2004-03-19 23:00,23,6,0
222,2004-03-20 00:00,0,7,1
223,2004-03-20 01:00,1,7,1
224,2004-03-20 02:00,2,7,1
225,2004-03-20 03:00,3,7,1
226,2004-03-20 04:00,4,7,1
227,2004-03-20 05:00,5,7,1
228,2004-03-20 06:00,6,7,1
229,2004-03-20 07:00,7,7,1
230,2004-03-20 08:00,8,7,1
231,2004-03-20 09:00,9,7,1
232,2004-03-20 10:00,10,7,1
233,2004-03-20 11:00,11,7,1
234,2004-03-20 12:00,12,7,1
235,2004-03-20 13:00,13,7,1
236,2004-03-20 14:00,14,7,1
237,2004-03-20 15:00,15,7,1
238,2004-03-20 16:00,16,7,1
239,2004-03-20 17:00,17,7,1
240,2004-03-20 18:00,18,7,1
241,2004-03-20 19:00,19,7,1
242,2004-03-20 20:00,20,7,1
243,2004-03-20 21:00,21,7,1
244,2004-03-20 22:00,22,7,1
245,2004-03-20 23:00,23,7,1
246,2004-03-21 00:00,0,1,1
247,2004-03-21 01:00,1,1,1
248,2004-03-21 02:00,2,1,1
249,2004-03-21 03:00,3,1,1
250,2004-03-21 04:00,4,1,1
251,2004-03-21 05:00,5,1,1
252,2004-03-21 06:00,6,1,1
253,2004-03-21 07:00,7,1,1
254,2004-03-21 08:00,8,1,1
255,2004-03-21 09:00,9,1,1
256,2004-03-21 10:00,10,1,1
257,2004-03-21 11:00,11,1,1
258,2004-03-21 12:00,12,1,1
259,2004-03-21 13:00,13,1,1
260,2004-03-21 14:00,14,1,1
261,2004-03-21 15:00,15,1,1
262,2004-03-21 16:00,16,1,1
263,2004-03-21 17:00,17,1,1
264,2004-03-21 18:00,18,1,1
265,2004-03-21 19:00,19,1,1
266,2004-03-21 20:00,20,1,1
267,2004-03-21 21:00,21,1,1
268,2004-03-21 22:00,22,1,1
269,2004-03-21 23:00,23,1,1
270,2004-03-22 00:00,0,2,0
271,2004-03-22 01:00,1,2,0
272,2004-03-22 02:00,2,2,0
273,2004-03-22 03:00,3,2,0
274,2004-03-22 04:00,4,2,0
275,2004-03-22 05:00,5,2,0
276,2004-03-22 06:00,6,2,0
277,2004-03-22 07:00,7,2,0
278,2004-03-22 08:00,8,2,0
279,2004-03-22 09:00,9,2,0
280,2004-03-22 10:00,10,2,0
281,2004-03-22 11:00,11,2,0
282,2004-03-22 12:00,12,2,0
283,2004-03-22 13:00,13,2,0
284,2004-03-22 14:00,14,2,0
285,2004-03-22 15:00,15,2,0
286,2004-03-22 16:00,16,2,0
287,2004-03-22 17:00,17,2,0
288,2004-03-22 18:00,18,2,0
289,2004-03-22 19:00,19,2,0
290,2004-03-22 20:00,20,2,0
291,2004-03-22 21:00,21,2,0
292,2004-03-22 22:00,22,2,0
293,2004-03-22 23:00,23,2,0
294,2004-03-23 00:00,0,3,0
295,2004-03-23 01:00,1,3,0
296,2004-03-23 02:00,2,3,0
297,2004-03-23 03:00,3,3,0
298,2004-03-23 04:00,4,3,0
299,2004-03-23 05:00,5,3,0
300,2004-03-23 06:00,6,3,0
301,2004-03-23 07:00,7,3,0
302,2004-03-23 08:00,8,3,0
303,2004-03-23 09:00,9,3,0
304,2004-03-23 10:00,10,3,0
305,2004-03-23 11:00,11,3,0
306,2004-03-23 12:00,12,3,0
307,2004-03-23 13:00,13,3,0
308,2004-03-23 14:00,14,3,0
309,2004-03-23 15:00,15,3,0
310,2004-03-23 16:00,16,3,0
311,2004-03-23 17:00,17,3,0
312,2004-03-23 18:00,18,3,0
313,2004-03-23 19:00,19,3,0
314,2004-03-23 20:00,20,3,0
315,2004-03-23 21:00,21,3,0
316,2004-03-23 22:00,22,3,0
317,2004-03-23 23:00,23,3,0
318,2004-03-24 00:00,0,4,0
319,2004-03-24 01:00,1,4,0
320,2004-03-24 02:00,2,4,0
321,2004-03-24 03:00,3,4,0
322,2004-03-24 04:00,4,4,0
323,2004-03-24 05:00,5,4,0
324,2004-03-24 06:00,6,4,0
325,2004-03-24 07:00,7,4,0
326,2004-03-24 08:00,8,4,0
327,2004-03-24 09:00,9,4,0
328,2004-03-24 10:00,10,4,0
329,2004-03-24 11:00,11,4,0
330,2004-03-24 12:00,12,4,0
331,2004-03-24 13:00,13,4,0
332,2004-03-24 14:00,14,4,0
333,2004-03-24 15:00,15,4,0
334,2004-03-24 16:00,16,4,0
335,2004-03-24 17:00,17,4,0
336,2004-03-24 18:00,18,4,0
337,2004-03-24 19:00,19,4,0
338,2004-03-24 20:00,20,4,0
339,2004-03-24 21:00,21,4,0
340,2004-03-24 22:00,22,4,0
341,2004-03-24 23:00,23,4,0
342,2004-03-25 00:00,0,5,0
343,2004-03-25 01:00,1,5,0
344,2004-03-25 02:00,2,5,0
345,2004-03-25 03:00,3,5,0
346,2004-03-25 04:00,4,5,0
347,2004-03-25 05:00,5,5,0
348,2004-03-25 06:00,6,5,0
349,2004-03-25 07:00,7,5,0
350,2004-03-25 08:00,8,5,0
351,2004-03-25 09:00,9,5,0
352,2004-03-25 10:00,10,5,0
353,2004-03-25 11:00,11,5,0
354,2004-03-25 12:00,12,5,0
355,2004-03-25 13:00,13,5,0
356,2004-03-25 14:00,14,5,0
357,2004-03-25 15:00,15,5,0
358,2004-03-25 16:00,16,5,0
359,2004-03-25 17:00,17,5,0
360,2004-03-25 18:00,18,5,0
361,2004-03-25 19:00,19,5,0
362,2004-03-25 20:00,20,5,0
363,2004-03-25 21:00,21,5,0
364,2004-03-25 22:00,22,5,0
365,2004-03-25 23:00,23,5,0
366,2004-03-26 00:00,0,6,0
367,2004-03-26 01:00,1,6,0
368,2004-03-26 02:00,2,6,0
369,2004-03-26 03:00,3,6,0
370,2004-03-26 04:00,4,6,0
371,2004-03-26 05:00,5,6,0
372,2004-03-26 06:00,6,6,0
373,2004-03-26 07:00,7,6,0
374,2004-03-26 08:00,8,6,0
375,2004-03-26 09:00,9,6,0
376,2004-03-26 10:00,10,6,0
377,2004-03-26 11:00,11,6,0
378,2004-03-26 12:00,12,6,0
379,2004-03-26 13:00,13,6,0
380,2004-03-26 14:00,14,6,0
381,2004-03-26 15:00,15,6,0
382,2004-03-26 16:00,16,6,0
383,2004-03-26 17:00,17,6,0
384,2004-03-26 18:00,18,6,0
385,2004-03-26 19:00,19,6,0
386,2004-03-26 20:00,20,6,0
387,2004-03-26 21:00,21,6,0
388,2004-03-26 22:00,22,6,0
389,2004-03-26 23:00,23,6,0
390,2004-03-27 00:00,0,7,1
391,2004-03-27 01:00,1,7,1
392,2004-03-27 02:00,2,7,1
393,2004-03-27 03:00,3,7,1
394,2004-03-27 04:00,4,7,1
395,2004-03-27 05:00,5,7,1
396,2004-03-27 06:00,6,7,1
397,2004-03-27 07:00,7,7,1
398,2004-03-27 08:00,8,7,1
399,2004-03-27 09:00,9,7,1
400,2004-03-27 10:00,10,7,1
401,2004-03-27 11:00,11,7,1
402,2004-03-27 12:00,12,7,1
403,2004-03-27 13:00,13,7,1
404,2004-03-27 14:00,14,7,1
405,2004-03-27 15:00,15,7,1
406,2004-03-27 16:00,16,7,1
407,2004-03-27 17:00,17,7,1
408,2004-03-27 18:00,18,7,1
409,2004-03-27 19:00,19,7,1
410,2004-03-27 20:00,20,7,1
411,2004-03-27 21:00,21,7,1
412,2004-03-27 22:00,22,7,1
413,2004-03-27 23:00,23,7,1
414,2004-03-28 00:00,0,1,1
415,2004-03-28 01:00,1,1,1
416,2004-03-28 02:00,2,1,1
417,2004-03-28 03:00,3,1,1
418,2004-03-28 04:00,4,1,1
419,2004-03-28 05:00,5,1,1
420,2004-03-28 06:00,6,1,1
421,2004-03-28 07:00,7,1,1
422,2004-03-28 08:00,8,1,1
423,2004-03-28 09:00,9,1,1
424,2004-03-28 10:00,10,1,1
425,2004-03-28 11:00,11,1,1
426,2004-03-28 12:00,12,1,1
427,2004-03-28 13:00,13,1,1
428,2004-03-28 14:00,14,1,1
429,2004-03-28 15:00,15,1,1
430,2004-03-28 16:00,16,1,1
431,2004-03-28 17:00,17,1,1
432,2004-03-28 18:00,18,1,1
433,2004-03-28 19:00,19,1,1
434,2004-03-28 20:00,20,1,1
435,2004-03-28 21:00,21,1,1
436,2004-03-28 22:00,22,1,1
437,2004-03-28 23:00,23,1,1
438,2004-03-29 00:00,0,2,0
439,2004-03-29 01:00,1,2,0
440,2004-03-29 02:00,2,2,0
441,2004-03-29 03:00,3,2,0
442,2004-03-29 04:00,4,2,0
443,2004-03-29 05:00,5,2,0
444,2004-03-29 06:00,6,2,0
445,2004-03-29 07:00,7,2,0
446,2004-03-29 08:00,8,2,0
447,2004-03-29 09:00,9,2,0
448,2004-03-29 10:00,10,2,0
449,2004-03-29 11:00,11,2,0
450,2004-03-29 12:00,12,2,0
451,2004-03-29 13:00,13,2,0
452,2004-03-29 14:00,14,2,0
453,2004-03-29 15:00,15,2,0
454,2004-03-29 16:00,16,2,0
455,2004-03-29 17:00,17,2,0
456,2004-03-29 18:00,18,2,0
457,2004-03-29 19:00,19,2,0
458,2004-03-29 20:00,20,2,0
459,2004-03-29 21:00,21,2,0
460,2004-03-29 22:00,22,2,0
461,2004-03-29 23:00,23,2,0
462,2004-03-30 00:00,0,3,0
463,2004-03-30 01:00,1,3,0
464,2004-03-30 02:00,2,3,0
465,2004-03-30 03:00,3,3,0
466,2004-03-30 04:00,4,3,0
467,2004-03-30 05:00,5,3,0
468,2004-03-30 06:00,6,3,0
469,2004-03-30 07:00,7,3,0
470,2004-03-30 08:00,8,3,0
471,2004-03-30 09:00,9,3,0
472,2004-03-30 10:00,10,3,0
473,2004-03-30 11:00,11,3,0
474,2004-03-30 12:00,12,3,0
475,2004-03-30 13:00,13,3,0
476,2004-03-30 14:00,14,3,0
477,2004-03-30 15:00,15,3,0
478,2004-03-30 16:00,16,3,0
479,2004-03-30 17:00,17,3,0
480,2004-03-30 18:00,18,3,0
481,2004-03-30 19:00,19,3,0
482,2004-03-30 20:00,20,3,0
483,2004-03-30 21:00,21,3,0
484,2004-03-30 22:00,22,3,0
485,2004-03-30 23:00,23,3,0
486,2004-03-31 00:00,0,4,0
487,2004-03-31 01:00,1,4,0
488,2004-03-31 02:00,2,4,0
489,2004-03-31 03:00,3,4,0
490,2004-03-31 04:00,4,4,0
491,2004-03-31 05:00,5,4,0
492,2004-03-31 06:00,6,4,0
493,2004-03-31 07:00,7,4,0
494,2004-03-31 08:00,8,4,0
495,2004-03-31 09:00,9,4,0
496,2004-03-31 10:00,10,4,0
497,2004-03-31 11:00,11,4,0
498,2004-03-31 12:00,12,4,0
499,2004-03-31 13:00,13,4,0
500,2004-03-31 14:00,14,4,0
501,2004-03-31 15:00,15,4,0
502,2004-03-31 16:00,16,4,0
503,2004-03-31 17:00,17,4,0
504,2004-03-31 18:00,18,4,0
505,2004-03-31 19:00,19,4,0
506,2004-03-31 20:00,20,4,0
507,2004-03-31 21:00,21,4,0
508,2004-03-31 22:00,22,4,0
509,2004-03-31 23:00,23,4,0
510,2004-04-01 00:00,0,5,0
511,2004-04-01 01:00,1,5,0
512,2004-04-01 02:00,2,5,0
513,2004-04-01 03:00,3,5,0
514,2004-04-01 04:00,4,5,0
515,2004-04-01 05:00,5,5,0
516,2004-04-01 06:00,6,5,0
517,2004-04-01 07:00,7,5,0
518,2004-04-01 08:00,8,5,0
519,2004-04-01 09:00,9,5,0
520,2004-04-01 10:00,10,5,0
521,2004-04-01 11:00,11,5,0
522,2004-04-01 12:00,12,5,0
523,2004-04-01 13:00,13,5,0
524,2004-04-01 14:00,14,5,0
525,2004-04-01 15:00,15,5,0
526,2004-04-01 16:00,16,5,0
527,2004-04-01 17:00,17,5,0
528,2004-04-01 18:00,18,5,0
529,2004-04-01 19:00,19,5,0
530,2004-04-01 20:00,20,5,0
531,2004-04-01 21:00,21,5,0
532,2004-04-01 22:00,22,5,0
533,2004-04-01 23:00,23,5,0
534,2004-04-02 00:00,0,6,0
535,2004-04-02 01:00,1,6,0
536,2004-04-02 02:00,2,6,0
537,2004-04-02 03:00,3,6,0
538,2004-04-02 04:00,4,6,0
539,2004-04-02 05:00,5,6,0
540,2004-04-02 06:00,6,6,0
541,2004-04-02 07:00,7,6,0
542,2004-04-02 08:00,8,6,0
543,2004-04-02 09:00,9,6,0
544,2004-04-02 10:00,10,6,0
545,2004-04-02 11:00,11,6,0
546,2004-04-02 12:00,12,6,0
547,2004-04-02 13:00,13,6,0
548,2004-04-02 14:00,14,6,0
549,2004-04-02 15:00,15,6,0
550,2004-04-02 16:00,16,6,0
551,2004-04-02 17:00,17,6,0
552,2004-04-02 18:00,18,6,0
553,2004-04-02 19:00,19,6,0
554,2004-04-02 20:00,20,6,0
555,2004-04-02 21:00,21,6,0
556,2004-04-02 22:00,22,6,0
557,2004-04-02 23:00,23,6,0
558,2004-04-03 00:00,0,7,1
559,2004-04-03 01:00,1,7,1
560,2004-04-03 02:00,2,7,1
561,2004-04-03 03:00,3,7,1
562,2004-04-03 04:00,4,7,1
563,2004-04-03 05:00,5,7,1
564,2004-04-03 06:00,6,7,1
565,2004-04-03 07:00,7,7,1
566,2004-04-03 08:00,8,7,1
567,2004-04-03 09:00,9,7,1
568,2004-04-03 10:00,10,7,1
569,2004-04-03 11:00,11,7,1
570,2004-04-03 12:00,12,7,1
571,2004-04-03 13:00,13,7,1
572,2004-04-03 14:00,14,7,1
573,2004-04-03 15:00,15,7,1
574,2004-04-03 16:00,16,7,1
575,2004-04-03 17:00,17,7,1
576,2004-04-03 18:00,18,7,1
577,2004-04-03 19:00,19,7,1
578,2004-04-03 20:00,20,7,1
579,2004-04-03 21:00,21,7,1
580,2004-04-03 22:00,22,7,1
581,2004-04-03 23:00,23,7,1
582,2004-04-04 00:00,0,1,1
583,2004-04-04 01:00,1,1,1
584,2004-04-04 02:00,2,1,1
585,2004-04-04 03:00,3,1,1
586,2004-04-04 04:00,4,1,1
587,2004-04-04 05:00,5,1,1
588,2004-04-04 06:00,6,1,1
589,2004-04-04 07:00,7,1,1
590,2004-04-04 08:00,8,1,1
591,2004-04-04 09:00,9,1,1
592,2004-04-04 10:00,10,1,1
593,2004-04-04 11:00,11,1,1
594,2004-04-04 12:00,12,1,1
595,2004-04-04 13:00,13,1,1
596,2004-04-04 14:00,14,1,1
597,2004-04-04 15:00,15,1,1
598,2004-04-04 16:00,16,1,1
599,2004-04-04 17:00,17,1,1
600,2004-04-04 18:00,18,1,1
601,2004-04-04 19:00,19,1,1
602,2004-04-04 20:00,20,1,1
603,2004-04-04 21:00,21,1,1
604,2004-04-04 22:00,22,1,1
605,2004-04-04 23:00,23,1,1
606,2004-04-05 00:00,0,2,0
607,2004-04-05 01:00,1,2,0
608,2004-04-05 02:00,2,2,0
609,2004-04-05 03:00,3,2,0
610,2004-04-05 04:00,4,2,0
611,2004-04-05 05:00,5,2,0
612,2004-04-05 06:00,6,2,0
613,2004-04-05 07:00,7,2,0
614,2004-04-05 08:00,8,2,0
615,2004-04-05 09:00,9,2,0
616,2004-04-05 10:00,10,2,0
617,2004-04-05 11:00,11,2,0
618,2004-04-05 12:00,12,2,0
619,2004-04-05 13:00,13,2,0
620,2004-04-05 14:00,14,2,0
621,2004-04-05 15:00,15,2,0
622,2004-04-05 16:00,16,2,0
623,2004-04-05 17:00,17,2,0
624,2004-04-05 18:00,18,2,0
625,2004-04-05 19:00,19,2,0
626,2004-04-05 20:00,20,2,0
627,2004-04-05 21:00,21,2,0
628,2004-04-05 22:00,22,2,0
629,2004-04-05 23:00,23,2,0
630,2004-04-06 00:00,0,3,0
631,2004-04-06 01:00,1,3,0
632,2004-04-06 02:00,2,3,0
633,2004-04-06 03:00,3,3,0
634,2004-04-06 04:00,4,3,0
635,2004-04-06 05:00,5,3,0
636,2004-04-06 06:00,6,3,0
637,2004-04-06 07:00,7,3,0
638,2004-04-06 08:00,8,3,0
639,2004-04-06 09:00,9,3,0
640,2004-04-06 10:00,10,3,0
641,2004-04-06 11:00,11,3,0
642,2004-04-06 12:00,12,3,0
643,2004-04-06 13:00,13,3,0
644,2004-04-06 14:00,14,3,0
645,2004-04-06 15:00,15,3,0
646,2004-04-06 16:00,16,3,0
647,2004-04-06 17:00,17,3,0
648,2004-04-06 18:00,18,3,0
649,2004-04-06 19:00,19,3,0
650,2004-04-06 20:00,20,3,0
651,2004-04-06 21:00,21,3,0
652,2004-04-06 22:00,22,3,0
653,2004-04-06 23:00,23,3,0
654,2004-04-07 00:00,0,4,0
655,2004-04-07 01:00,1,4,0
656,2004-04-07 02:00,2,4,0
657,2004-04-07 03:00,3,4,0
658,2004-04-07 04:00,4,4,0
659,2004-04-07 05:00,5,4,0
660,2004-04-07 06:00,6,4,0
661,2004-04-07 07:00,7,4,0
662,2004-04-07 08:00,8,4,0
663,2004-04-07 09:00,9,4,0
664,2004-04-07 10:00,10,4,0
665,2004-04-07 11:00,11,4,0
666,2004-04-07 12:00,12,4,0
667,2004-04-07 13:00,13,4,0
668,2004-04-07 14:00,14,4,0
669,2004-04-07 15:00,15,4,0
670,2004-04-07 16:00,16,4,0
671,2004-04-07 17:00,17,4,0
672,2004-04-07 18:00,18,4,0
673,2004-04-07 19:00,19,4,0
674,2004-04-07 20:00,20,4,0
675,2004-04-07 21:00,21,4,0
676,2004-04-07 22:00,22,4,0
677,2004-04-07 23:00,23,4,0
678,2004-04-08 00:00,0,5,0
679,2004-04-08 01:00,1,5,0
680,2004-04-08 02:00,2,5,0
681,2004-04-08 03:00,3,5,0
682,2004-04-08 04:00,4,5,0
683,2004-04-08 05:00,5,5,0
684,2004-04-08 06:00,6,5,0
685,2004-04-08 07:00,7,5,0
686,2004-04-08 08:00,8,5,0
687,2004-04-08 09:00,9,5,0
688,2004-04-08 10:00,10,5,0
689,2004-04-08 11:00,11,5,0
690,2004-04-08 12:00,12,5,0
691,2004-04-08 13:00,13,5,0
692,2004-04-08 14:00,14,5,0
693,2004-04-08 15:00,15,5,0
694,2004-04-08 16:00,16,5,0
695,2004-04-08 17:00,17,5,0
696,2004-04-08 18:00,18,5,0
697,2004-04-08 19:00,19,5,0
698,2004-04-08 20:00,20,5,0
699,2004-04-08 21:00,21,5,0
700,2004-04-08 22:00,22,5,0
701,2004-04-08 23:00,23,5,0
702,2004-04-09 00:00,0,6,0
703,2004-04-09 01:00,1,6,0
704,2004-04-09 02:00,2,6,0
705,2004-04-09 03:00,3,6,0
706,2004-04-09 04:00,4,6,0
707,2004-04-09 05:00,5,6,0
708,2004-04-09 06:00,6,6,0
709,2004-04-09 07:00,7,6,0
710,2004-04-09 08:00,8,6,0
711,2004-04-09 09:00,9,6,0
712,2004-04-09 10:00,10,6,0
713,2004-04-09 11:00,11,6,0
714,2004-04-09 12:00,12,6,0
715,2004-04-09 13:00,13,6,0
716,2004-04-09 14:00,14,6,0
717,2004-04-09 15:00,15,6,0
718,2004-04-09 16:00,16,6,0
719,2004-04-09 17:00,17,6,0
720,2004-04-09 18:00,18,6,0
721,2004-04-09 19:00,19,6,0
722,2004-04-09 20:00,20,6,0
723,2004-04-09 21:00,21,6,0
724,2004-04-09 22:00,22,6,0
725,2004-04-09 23:00,23,6,0
726,2004-04-10 00:00,0,7,1
727,2004-04-10 01:00,1,7,1
728,2004-04-10 02:00,2,7,1
729,2004-04-10 03:00,3,7,1
730,2004-04-10 04:00,4,7,1
731,2004-04-10 05:00,5,7,1
732,2004-04-10 06:00,6,7,1
